source_id|source|source_column|name|azt_id
10072|IMPACT|TRIAL_ALIAS_CODE|1839IL/0104|D7913C00104
10071|IMPACT|TRIAL_ALIAS_CODE|1839IL/0103|D7913C00103
10041|IMPACT|TRIAL_ALIAS_CODE|1839IL/0092|D7913L00092
13510|IMPACT|TRIAL_ALIAS_CODE|D9614C00004|D9614C00004
14172|IMPACT|TRIAL_ALIAS_CODE|IRUSESMO0277|
14171|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0407|IRUSESOM0407
14170|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0396|IRUSESOM0396
12855|IMPACT|TRIAL_ALIAS_CODE|D8480C00012|D8480C00012
12854|IMPACT|TRIAL_ALIAS_CODE|D8480C00011|D8480C00011
12852|IMPACT|TRIAL_ALIAS_CODE|D4200C00041|D4200C00041
12851|IMPACT|TRIAL_ALIAS_CODE|D791AC00004|D791AC00004
12850|IMPACT|TRIAL_ALIAS_CODE|D791AC00003|D791AC00003
12847|IMPACT|TRIAL_ALIAS_CODE|D1531M00004|D1531M00004
12846|IMPACT|TRIAL_ALIAS_CODE|D1531C00007|D1531C00007
13120|IMPACT|TRIAL_ALIAS_CODE|D5130C00015|D5130C00015
13624|IMPACT|TRIAL_ALIAS_CODE|9188IL/0054|
13623|IMPACT|TRIAL_ALIAS_CODE|9188IL/0053|
13622|IMPACT|TRIAL_ALIAS_CODE|9188IL/0052|
13621|IMPACT|TRIAL_ALIAS_CODE|9188IL/0051|
13620|IMPACT|TRIAL_ALIAS_CODE|9188IL/0049|
13619|IMPACT|TRIAL_ALIAS_CODE|9188IL/0047|
9990|IMPACT|TRIAL_ALIAS_CODE|1839IL/0091|D7913C00091
13522|IMPACT|TRIAL_ALIAS_CODE|D4200C00068|D4200C00068
10040|IMPACT|TRIAL_ALIAS_CODE|1839IL/0087|D7913C00087
10029|IMPACT|TRIAL_ALIAS_CODE|1839IL/0063|D7913L00063
14256|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0386|IRUSESOM0386
14082|IMPACT|TRIAL_ALIAS_CODE|D961DL00005|D961DL00005
13811|IMPACT|TRIAL_ALIAS_CODE|D0540M00001|D0540M00001
13788|IMPACT|TRIAL_ALIAS_CODE|D5890C00015|D5890C00015
13460|IMPACT|TRIAL_ALIAS_CODE|D5890L00019|D5890L00019
13391|IMPACT|TRIAL_ALIAS_CODE|D0880C00001|D0880C00001
11740|IMPACT|TRIAL_ALIAS_CODE|IRUSIRES0205|
12843|IMPACT|TRIAL_ALIAS_CODE|D1531C000002|D1531C000002
12841|IMPACT|TRIAL_ALIAS_CODE|D5130C05262|D5130C05262
14000|IMPACT|TRIAL_ALIAS_CODE|D9120C00024|D9120C00024
13999|IMPACT|TRIAL_ALIAS_CODE|D9120C00023|D9120C00023
13861|IMPACT|TRIAL_ALIAS_CODE|D5896C00022|D5896C00022
13521|IMPACT|TRIAL_ALIAS_CODE|D9589C00002|D9589C00002
13520|IMPACT|TRIAL_ALIAS_CODE|D9589C00001|D9589C00001
13618|IMPACT|TRIAL_ALIAS_CODE|9188IL/0044|
13617|IMPACT|TRIAL_ALIAS_CODE|9188IL/0043_52WEEK|
13616|IMPACT|TRIAL_ALIAS_CODE|9188IL/0043_12WEEK|
13614|IMPACT|TRIAL_ALIAS_CODE|9188IL/0041|
13613|IMPACT|TRIAL_ALIAS_CODE|9188IL/0038|
13612|IMPACT|TRIAL_ALIAS_CODE|9188IL/0037|
13611|IMPACT|TRIAL_ALIAS_CODE|9188IL/0036|
13610|IMPACT|TRIAL_ALIAS_CODE|9188IL/0035|
14255|IMPACT|TRIAL_ALIAS_CODE|D9612L00139|D9612L00139
14254|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0554|IRUSESOM0554
14018|IMPACT|TRIAL_ALIAS_CODE|D1910C00007|D1910C00007
13974|IMPACT|TRIAL_ALIAS_CODE|D6430M00001|D6430M00001
13858|IMPACT|TRIAL_ALIAS_CODE|D8480C00040|D8480C00040
13042|IMPACT|TRIAL_ALIAS_CODE|D6160C00055|D6160C00055
11739|IMPACT|TRIAL_ALIAS_CODE|IRUSIRES0193|
11738|IMPACT|TRIAL_ALIAS_CODE|AD-QBE-0002|AD-QBE-0002
11735|IMPACT|TRIAL_ALIAS_CODE|D9770L00002|D9770L00002
11733|IMPACT|TRIAL_ALIAS_CODE|05-5009|05-5009
11732|IMPACT|TRIAL_ALIAS_CODE|05-5008|05-5008
11731|IMPACT|TRIAL_ALIAS_CODE|05-2000|05-2000
10064|IMPACT|TRIAL_ALIAS_CODE|1839IL/0095|D7913C00095
13129|IMPACT|TRIAL_ALIAS_CODE|D1441L00017|D1441L00017
13123|IMPACT|TRIAL_ALIAS_CODE|D6160C00047|D6160C00047
10381|IMPACT|TRIAL_ALIAS_CODE|V-15-25|V-15-25
10303|IMPACT|TRIAL_ALIAS_CODE|1839IL/0517|D7913L00517
13608|IMPACT|TRIAL_ALIAS_CODE|9188IL/0030|D4501C00030
13607|IMPACT|TRIAL_ALIAS_CODE|9188IL/0029|
13606|IMPACT|TRIAL_ALIAS_CODE|9188IL/0028|
13605|IMPACT|TRIAL_ALIAS_CODE|9188IL/0027|
13603|IMPACT|TRIAL_ALIAS_CODE|9188IL/0026|
13602|IMPACT|TRIAL_ALIAS_CODE|9188IL/0024|
16034|IMPACT|TRIAL_ALIAS_CODE|D0510C00024|D0510C00024
16033|IMPACT|TRIAL_ALIAS_CODE|D0510C00023|D0510C00023
13961|IMPACT|TRIAL_ALIAS_CODE|D961FC00004|D961FC00004
13941|IMPACT|TRIAL_ALIAS_CODE|D3190C00005|D3190C00005
13917|IMPACT|TRIAL_ALIAS_CODE|D0342C00011|D0342C00011
13916|IMPACT|TRIAL_ALIAS_CODE|D0342C00001|D0342C00001
13915|IMPACT|TRIAL_ALIAS_CODE|D1740C00008|D1740C00008
13900|IMPACT|TRIAL_ALIAS_CODE|D5892L00007|D5892L00007
11730|IMPACT|TRIAL_ALIAS_CODE|SD-075-0115|SD-075-0115
11729|IMPACT|TRIAL_ALIAS_CODE|SD-038-0702|D5257C00702
11728|IMPACT|TRIAL_ALIAS_CODE|SD-037-0725|D5120C00725
11727|IMPACT|TRIAL_ALIAS_CODE|SD-037-0684|D5125C00684
11726|IMPACT|TRIAL_ALIAS_CODE|SD-037-0657|D5125C00657
11725|IMPACT|TRIAL_ALIAS_CODE|SD-037-0602|D5125C00602
11724|IMPACT|TRIAL_ALIAS_CODE|SD-037-0497|D5120C00497
11723|IMPACT|TRIAL_ALIAS_CODE|SD-037-0399|D5120C00399
10455|IMPACT|TRIAL_ALIAS_CODE|1839IL/0712|D791HL00001
12992|IMPACT|TRIAL_ALIAS_CODE|D6160L00002|D6160L00002
12963|IMPACT|TRIAL_ALIAS_CODE|D7919C00004|D7919C00004
13251|IMPACT|TRIAL_ALIAS_CODE|D5130C00043|D5130C00043
13146|IMPACT|TRIAL_ALIAS_CODE|D4004C00009|D4004C00009
13130|IMPACT|TRIAL_ALIAS_CODE|D1511C00001|D1511C00001
16032|IMPACT|TRIAL_ALIAS_CODE|D0510C00035|D0510C00035
15182|IMPACT|TRIAL_ALIAS_CODE|D3560L00088|D3560L00088
15181|IMPACT|TRIAL_ALIAS_CODE|D3560L00087|D3560L00087
15177|IMPACT|TRIAL_ALIAS_CODE|D2460C00001|D2460C00001
15096|IMPACT|TRIAL_ALIAS_CODE|D0190C00011|D0190C00011
15175|IMPACT|TRIAL_ALIAS_CODE|D1840M00007|
15173|IMPACT|TRIAL_ALIAS_CODE|NIS-CEU-DUM-2008/2|
13886|IMPACT|TRIAL_ALIAS_CODE|D5892N00008|D5892N00008
13872|IMPACT|TRIAL_ALIAS_CODE|D1443C00077|D1443C00077
13869|IMPACT|TRIAL_ALIAS_CODE|D589KN00004|D589KN00004
13856|IMPACT|TRIAL_ALIAS_CODE|D589CC00003|D589CC00003
13855|IMPACT|TRIAL_ALIAS_CODE|D5896C00021|D5896C00021
13848|IMPACT|TRIAL_ALIAS_CODE|D1531C00008|D1531C00008
11722|IMPACT|TRIAL_ALIAS_CODE|SD-037-0361|D5125C00361
14260|IMPACT|TRIAL_ALIAS_CODE|D1443C00094|D1443C00094
14259|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0442|IRUSESOM0442
13748|IMPACT|TRIAL_ALIAS_CODE|D3170C00002|D3170C00002
14247|IMPACT|TRIAL_ALIAS_CODE|D4350C00026|D4350C00026
14246|IMPACT|TRIAL_ALIAS_CODE|D4350C00025|D4350C00025
10432|IMPACT|TRIAL_ALIAS_CODE|V-25-22|D7918L00001
13074|IMPACT|TRIAL_ALIAS_CODE|D6874L00021|D6874L00021
13073|IMPACT|TRIAL_ALIAS_CODE|IRUSIRES0413|
13982|IMPACT|TRIAL_ALIAS_CODE|D144100036|D144100036
13934|IMPACT|TRIAL_ALIAS_CODE|D0880C00007|D0880C00007
15172|IMPACT|TRIAL_ALIAS_CODE|D2330C00001|D2330C00001
15171|IMPACT|TRIAL_ALIAS_CODE|D0840C00009|D0840C00009
15166|IMPACT|TRIAL_ALIAS_CODE|D3801C00004|D3801C00004
15165|IMPACT|TRIAL_ALIAS_CODE|D1250C00056|D1250C00056
15164|IMPACT|TRIAL_ALIAS_CODE|D5890L00032|D5890L00032
15163|IMPACT|TRIAL_ALIAS_CODE|D3550C00008|D3550C00008
13843|IMPACT|TRIAL_ALIAS_CODE|D9617C00022|D9617C00022
13834|IMPACT|TRIAL_ALIAS_CODE|D3100C00002|D3100C00002
13386|IMPACT|TRIAL_ALIAS_CODE|D4200C00061|D4200C00061
10227|IMPACT|TRIAL_ALIAS_CODE|D5396C00040|D5396C00040
10212|IMPACT|TRIAL_ALIAS_CODE|D9612L00039|D9612L00039
10211|IMPACT|TRIAL_ALIAS_CODE|MA-NEH-0001|MA-NEH-0001
10210|IMPACT|TRIAL_ALIAS_CODE|EV-NEH-0001|EV-NEH-0001
10209|IMPACT|TRIAL_ALIAS_CODE|D9612L00033|D9612L00033
