GVK_ID	DRUG_NAME	LAST_SIGNIFICANT_UPDATE	STATUS	REASON_WITHDRAWN	REMARKS	DRUG_DOSE	HIGHEST_PHASE_TRIAL	MODE_OF_ACTION	DATABASE_NAME	HIGHEST_PHASE_ALL	APPROVAL_DATE	STD_HIGHEST_PHASE_ALL	FLAG	COMPANY_NAME	GVK_ID_1	FLAG_1	APPROVAL_YEAR	LAST_SIGNIFICANT_UPDATE_YEAR
5900537	GEFITINIB	March 13, 2014	WITHDRAWN DRUG			For lung cancer, non-small cell:Adults--250 milligrams (mg) dailyChildren--Use and dose must be determined by doctor	Withdrawn	The mechanism of the clinical antitumor action of gefitinib is not fully characterized. Gefitinib inhibits the intracellular phosphorylation of numerous tyrosine kinases associated with transmembrane cell surface receptors, including the tyrosine kinases associated with the epidermal growth factor receptor (EGFR-TK)	DD	Withdrawn - Breast cancer, Renal cancer, Colorectal cancer, Glioblastoma, Leukemia, Non-small cell lung cancer, Solid Tumor; Launched - Breast cancer, Renal cancer, Colorectal cancer, Glioblastoma, Leukemia, Non-small cell lung cancer, Solid Tumor	May 05, 2003	Withdrawn; Launched		ASTRAZENECA	5900537	MAR14_4	2003	2014
5903170	FELODIPINE + ENALAPRIL		PRESCRIPTION DRUG				Launched	Enalapril is converted to enalaprilat which acts as angiotensin converting enzyme inhibitor. Felodipine is a dihydropyridine calcium channel blocker	DD	Launched - HYPERTENSION	December 27, 1996	Launched	APR11_2	AstraZeneca	5903170	APR11_2	1996	1995
5903244	VANDETANIB	March 13, 2014	PRESCRIPTION DRUG			300 mg once daily	Launched	Vascular endothelial growth factor receptor 2 inhibitor; Epidermal growth factor receptor tyrosine kinase inhibitor	DD	Launched - Metastatic thyroid cancer	April 06, 2011	Launched	AUG11_3	ASTRAZENECA	5903244	MAR14_4	2011	2014
5910042	ZD 3523	February 12, 2014					Discontinued	Leukotriene D4 receptor antagonist; Leukotriene E4 receptor antagonist	CCD	Phase III - Asthma, Allergic rhinitis; Discontinued - Asthma, Allergic rhinitis		Phase III; Discontinued		ASTRAZENECA	5910042	MAR14_4	1995	2014
5910117	BUCINDOLOL	July 12, 2013					Discontinued	Beta-1 adrenergic receptor antagonist; Beta-2 adrenergic receptor antagonist	CCD	Discontinued - Congestive heart failure, Hypertension; Phase III - Congestive heart failure, Hypertension		Discontinued; Phase III		ASTRA MERCK INC	5910117		1995	2013
5910129	CANGRELOR	August 14, 2015	Prescription Drug	TMC halts phase III cangrelor program for PCI due to lack of efficacy		Administer 30 ug/kg intravenous bolus prior to PCI followed immediately by a 4 ug/kg/min intravenous infusion for at least 2 hours or duration of procedure, whichever is longer	Launched	P2Y12 purinoceptor antagonist; Platelet ADP receptor antagonist; Platelet aggregation inhibitor	DD	Launched - Periprocedural myocardial infarction, Repeated coronary revascularization, Stent thrombosis; Phase III - Coronary artery disease, Coronary thrombosis	June 22, 2015	Launched; Phase III		ASTRAZENECA PLC	5910129		2015	2015
5912261	ARC 67085	May 12, 2015					Discontinued	P2Y Purinoceptor 12 antagonist; P2Y Purinoceptor 11 agonist; P2Y Purinoceptor 13 antagonist	CCD	Discontinued - Thrombosis; Phase II - Thrombosis		Discontinued; Phase II		ASTRAZENECA	5912261		1995	2015
5910409	ZD 0473	July 15, 2015		Due to its financial situation, Poniard terminated all of its employees & discontineud development of picoplatin			Discontinued	DNA synthesis inhibitor	CCD	Discontinued - Small cell lung cancer; Phase III - Small cell lung cancer; Phase II - Prostate tumor, Colorectal tumor		Discontinued; Phase III; Phase II		ASTRAZENECA PLC	5910409		1995	2015
5910214	LANICEMINE	November 17, 2014					Discontinued	NMDA receptor antagonist	CCD	Phase II - TREATMENT RESISTANT DEPRESSION; Discontinued - TREATMENT RESISTANT DEPRESSION		Discontinued; Phase II		ASTRAZENECA PLC	5910214		1995	2014
5910352	LONAPALENE	5/27/2002					Discontinued	5-Lipoxygenase inhibitor; Arachidonic acid antagonist	CCD	Discontinued - Psoriasis		Discontinued		ASTRA AB	5910352		1995	2002
